0.000000 	 30.000000 	 20.000000 
0.010000 	 30.000000 	 20.000000 
0.020000 	 30.000000 	 20.000000 
0.030000 	 30.000000 	 20.000000 
0.040000 	 30.000000 	 20.000000 
0.050000 	 30.000000 	 20.000000 
0.060000 	 30.000000 	 20.000000 
0.070000 	 30.000000 	 20.000000 
0.080000 	 30.000000 	 20.000000 
0.090000 	 30.000000 	 20.000000 
0.100000 	 30.000000 	 20.000000 
0.110000 	 30.000000 	 20.000000 
0.120000 	 30.000000 	 20.000000 
0.130000 	 30.000000 	 20.000000 
0.140000 	 30.000000 	 20.000000 
0.150000 	 30.000000 	 20.000000 
0.160000 	 30.000000 	 20.000000 
0.170000 	 30.000000 	 20.000000 
0.180000 	 30.000000 	 20.000000 
0.190000 	 30.000000 	 20.000000 
0.200000 	 30.000000 	 20.000000 
0.210000 	 30.000000 	 20.000000 
0.220000 	 30.000000 	 20.000000 
0.230000 	 30.000000 	 20.000000 
0.240000 	 30.000000 	 20.000000 
0.250000 	 30.000000 	 20.000000 
0.260000 	 30.000000 	 20.000000 
0.270000 	 30.000000 	 20.000000 
0.280000 	 30.000000 	 20.000000 
0.290000 	 30.000000 	 20.000000 
0.300000 	 30.000000 	 20.000000 
0.310000 	 30.000000 	 20.000000 
0.320000 	 30.000000 	 20.000000 
0.330000 	 30.000000 	 20.000000 
0.340000 	 30.000000 	 20.000000 
0.350000 	 30.000000 	 20.000000 
0.360000 	 30.000000 	 20.000000 
0.370000 	 30.000000 	 20.000000 
0.380000 	 30.000000 	 20.000000 
0.390000 	 30.000000 	 20.000000 
0.400000 	 30.000000 	 20.000000 
0.410000 	 30.000000 	 20.000000 
0.420000 	 30.000000 	 20.000000 
0.430000 	 30.000000 	 20.000000 
0.440000 	 30.000000 	 20.000000 
0.450000 	 30.000000 	 20.000000 
0.460000 	 30.000000 	 20.000000 
0.470000 	 30.000000 	 20.000000 
0.480000 	 30.000000 	 20.000000 
0.490000 	 30.000000 	 20.000000 
0.500000 	 30.000000 	 20.000000 
0.510000 	 30.000000 	 20.000000 
0.520000 	 30.000000 	 20.000000 
0.530000 	 30.000000 	 20.000000 
0.540000 	 30.000000 	 20.000000 
0.550000 	 30.000000 	 20.000000 
0.560000 	 30.000000 	 20.000000 
0.570000 	 30.000000 	 20.000000 
0.580000 	 30.000000 	 20.000000 
0.590000 	 30.000000 	 20.000000 
0.600000 	 30.000000 	 20.000000 
0.610000 	 30.000000 	 20.000000 
0.620000 	 30.000000 	 20.000000 
0.630000 	 30.000000 	 20.000000 
0.640000 	 30.000000 	 20.000000 
0.650000 	 30.000000 	 20.000000 
0.660000 	 30.000000 	 20.000000 
0.670000 	 30.000000 	 20.000000 
0.680000 	 30.000000 	 20.000000 
0.690000 	 30.000000 	 20.000000 
0.700000 	 30.000000 	 20.000000 
0.710000 	 30.000000 	 20.000000 
0.720000 	 30.000000 	 20.000000 
0.730000 	 30.000000 	 20.000000 
0.740000 	 30.000000 	 20.000000 
0.750000 	 30.000000 	 20.000000 
0.760000 	 30.000000 	 20.000000 
0.770000 	 30.000000 	 20.000000 
0.780000 	 30.000000 	 20.000000 
0.790000 	 30.000000 	 20.000000 
0.800000 	 30.000000 	 20.000000 
0.810000 	 30.000000 	 20.000000 
0.820000 	 30.000000 	 20.000000 
0.830000 	 30.000000 	 20.000000 
0.840000 	 30.000000 	 20.000000 
0.850000 	 30.000000 	 20.000000 
0.860000 	 30.000000 	 20.000000 
0.870000 	 30.000000 	 20.000000 
0.880000 	 30.000000 	 20.000000 
0.890000 	 30.000000 	 20.000000 
0.900000 	 30.000000 	 20.000000 
0.910000 	 30.000000 	 20.000000 
0.920000 	 30.000000 	 20.000000 
0.930000 	 30.000000 	 20.000000 
0.940000 	 30.000000 	 20.000000 
0.950000 	 30.000000 	 20.000000 
0.960000 	 30.000000 	 20.000000 
0.970000 	 30.000000 	 20.000000 
0.980000 	 30.000000 	 20.000000 
0.990000 	 30.000000 	 20.000000 
